timestamp,Right Hand X Position,Right Hand Y Position,Right Hand Z Position,Left Hand X Position,Left Hand Y Position,Left Hand Z Position
1.60641E+15,0.298855,-0.0181089,1.1188,-0.263774,0.0677405,1.05737
1.60641E+15,0.295049,0.0293509,1.13572,-0.32795,0.0777973,1.11762
1.60641E+15,0.280775,0.0516091,1.17003,-0.287415,0.0580125,1.18631
1.60641E+15,0.261687,0.0683703,1.20468,-0.320139,0.0281401,1.1952
1.60641E+15,0.25203,0.0784204,1.22897,-0.344258,0.0666254,1.22428
1.60641E+15,0.232243,0.0875536,1.25784,-0.343574,0.0728639,1.23807
1.60641E+15,0.225408,0.077286,1.26357,-0.335202,0.101451,1.27556
1.60641E+15,0.223264,0.0877709,1.27826,-0.333276,0.0993377,1.27942
1.60641E+15,0.218773,0.07668,1.27961,-0.328157,0.0991023,1.28522
1.60641E+15,0.217479,0.0739826,1.28087,-0.326542,0.100213,1.28748
1.60641E+15,0.216114,0.0804521,1.2885,-0.316776,0.119281,1.31815
1.60641E+15,0.215075,0.0848148,1.29288,-0.317068,0.118644,1.31795
1.60641E+15,0.213578,0.0789651,1.29207,-0.317634,0.118002,1.31765
1.60641E+15,0.213696,0.0765395,1.29183,-0.329036,0.0990363,1.28914
1.60641E+15,0.213053,0.0751337,1.29175,-0.329734,0.100329,1.28996
1.60641E+15,0.212885,0.0735478,1.29181,-0.33032,0.101352,1.29066
1.60641E+15,0.209578,0.0953303,1.3042,-0.330471,0.102674,1.29131
1.60641E+15,0.208318,0.0957179,1.30397,-0.330424,0.103711,1.29171
1.60641E+15,0.210987,0.0971144,1.3048,-0.329672,0.105401,1.29243
1.60641E+15,0.20891,0.0974391,1.30372,-0.329623,0.106283,1.29237
1.60641E+15,0.212515,0.0982263,1.30494,-0.329538,0.107127,1.29242
1.60641E+15,0.212855,0.0985733,1.30518,-0.328796,0.107883,1.29278
1.60641E+15,0.213005,0.0989661,1.30547,-0.327713,0.109653,1.29352
1.60641E+15,0.213085,0.0991741,1.30569,-0.327279,0.110297,1.29367
1.60641E+15,0.214189,0.0995557,1.30618,-0.326583,0.111477,1.29406
1.60641E+15,0.214335,0.0992256,1.30602,-0.32516,0.111477,1.29391
1.60641E+15,0.214429,0.0989999,1.3059,-0.324337,0.111718,1.29402
1.60641E+15,0.214657,0.0998913,1.30564,-0.32409,0.111837,1.29393
