Time Stamp,Right Hand X Pos,Right Hand Y Pos,Right Hand Z Pos, Left Hand X Pos,Left Hand Y Pos,Left Hand Z Pos
1604515615,0.3248348,-0.3211277,1.310622,-0.4147725,-0.3847482,1.331399
1604515615,0.3034154,-0.3708755,1.333621,-0.3994914,-0.4338157,1.356822
1604515615,0.2840365,-0.4009376,1.354966,-0.3685335,-0.4525752,1.40018
1604515615,0.2714933,-0.4614059,1.346783,-0.3394456,-0.4754035,1.435675
1604515615,0.2286899,-0.4637411,1.411047,-0.3191599,-0.4844376,1.459075
1604515615,0.2011368,-0.478398,1.437411,-0.2971998,-0.5113925,1.479887
1604515615,0.1880112,-0.4818606,1.447523,-0.2865289,-0.4887263,1.507529
1604515615,0.1743655,-0.5015737,1.452693,-0.2857448,-0.4873412,1.508874
1604515615,0.1596855,-0.501061,1.456195,-0.2848628,-0.4862617,1.510194
1604515615,0.1535966,-0.4999686,1.453966,-0.2851722,-0.4845592,1.509451
1604515615,0.1493957,-0.4983503,1.449086,-0.2890713,-0.4837851,1.501571
1604515616,0.1449868,-0.4953188,1.436456,-0.2975149,-0.4824879,1.487577
1604515616,0.1561743,-0.4867091,1.418642,-0.312566,-0.4788343,1.462114
1604515616,0.1651242,-0.4788919,1.396093,-0.3267969,-0.4792356,1.443041
1604515616,0.1658053,-0.4589563,1.380984,-0.3410128,-0.4749733,1.427015
1604515616,0.1739622,-0.4474254,1.359641,-0.3614257,-0.4658939,1.402457
1604515616,0.184797,-0.4318179,1.342249,-0.3759461,-0.4546718,1.381371
1604515616,0.1954813,-0.4011893,1.320627,-0.3902695,-0.4375194,1.357278
1604515616,0.1994349,-0.3853884,1.314248,-0.407112,-0.4072664,1.342578
1604515616,0.1990347,-0.364261,1.308692,-0.4229482,-0.3687958,1.282366
1604515616,0.1972615,-0.3394607,1.312117,-0.4340206,-0.3415909,1.313165
1604515616,0.2029053,-0.2836522,1.312512,-0.4389355,-0.2524552,1.231341
1604515616,0.2019536,-0.2464966,1.304121,-0.430066,-0.2300483,1.29259
1604515616,0.2136807,-0.209351,1.29339,-0.4370285,-0.1847038,1.278249
1604515616,0.2178445,-0.1682522,1.299134,-0.4401816,-0.1588279,1.280992
1604515616,0.2171285,-0.1359997,1.312362,-0.4471076,-0.1169497,1.273226
1604515616,0.2165257,-0.1129412,1.327633,-0.4487823,-0.06610458,1.281234
1604515616,0.2167485,-0.08983809,1.34267,-0.4498025,-0.056587,1.286793
1604515616,0.2211797,-0.05862525,1.345609,-0.452101,-0.03589255,1.296753
1604515616,0.2191164,-0.03793278,1.369018,-0.4516356,-0.02958066,1.305065
1604515616,0.2192923,-0.03746494,1.372494,-0.45035,-0.0245892,1.31443
1604515616,0.2194153,-0.03539164,1.377365,-0.4487693,-0.01911988,1.321978
1604515616,0.224821,0.02860783,1.381052,-0.4444118,-0.01936007,1.329473
1604515616,0.2242928,-0.03380601,1.386808,-0.4399635,-0.01935511,1.333639
1604515616,0.226026,-0.02238551,1.384518,-0.435399,-0.01909635,1.335795
1604515616,0.2281933,-0.03131358,1.382905,-0.4295955,-0.01913965,1.336667
1604515616,0.2311416,-0.03190234,1.380293,-0.4236076,-0.0194969,1.336257
1604515616,0.2360778,-0.03335297,1.376085,-0.4174314,-0.01939193,1.334762
1604515616,0.2395775,-0.03825045,1.374412,-0.411255,-0.01755285,1.332605
1604515616,0.2457569,-0.02474451,1.369053,-0.4037708,-0.01884061,1.331256
1604515616,0.2502261,-0.02622637,1.366161,-0.3979177,-0.01733309,1.329596
